trip_id,trip_property_id,value
55806427,note,Waits at Forest Hills for last Orange Line train
55806427,trip_type,wait
55808438,note,Waits at Forest Hills for last Orange Line train
55808438,trip_type,wait
55808676,note,Waits at Forest Hills for last Orange Line train
55808676,trip_type,wait
55808754,note,Waits at Forest Hills for last Orange Line train
55808754,trip_type,wait
55809005,note,Waits at Forest Hills for last Orange Line train
55809005,trip_type,wait
55835157,note,Waits at Ruggles for last Orange Line train
55835157,trip_type,wait
55835183,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
55835183,trip_type,wait
55835293,note,Waits at W Broadway @ Broadway Station for last Red Line train
55835293,trip_type,wait
55835503,note,Waits at W Broadway @ Broadway Station for last Red Line train
55835503,trip_type,wait
55835537,note,Waits at Ruggles for last Orange Line train
55835537,trip_type,wait
55835609,note,Waits at Massachusetts Ave @ Pearl St for last Red Line train
55835609,trip_type,wait
55835616,note,Waits at Ruggles for last Orange Line train
55835616,trip_type,wait
55835817,note,Waits at Boylston St @ Dartmouth St for last Green Line train
55835817,trip_type,wait
55836031,note,Waits at Kenmore for last Green Line train
55836031,trip_type,wait
55836378,note,Waits at Ashmont for last Red Line train
55836378,trip_type,wait
55836471,note,Waits at Ruggles for last Orange Line train
55836471,trip_type,wait
55836548,note,Waits at Andrew for last Red Line train
55836548,trip_type,wait
55836549,note,Waits at Forest Hills for last Orange Line train
55836549,trip_type,wait
55836733,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
55836733,trip_type,wait
55836786,note,Waits at Nubian for last Silver Line bus
55836786,trip_type,wait
55837247,note,Waits at Nubian for last Silver Line bus
55837247,trip_type,wait
55837363,note,Waits at Massachusetts Ave @ Holyoke St for last Red Line train
55837363,trip_type,wait
55839439,note,Waits at Ruggles for last Orange Line train
55839439,trip_type,wait
55839478,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
55839478,trip_type,wait
55839619,note,Waits at W Broadway @ Broadway Station for last Red Line train
55839619,trip_type,wait
55839730,note,Waits at Massachusetts Ave @ Holyoke St for last Red Line train
55839730,trip_type,wait
55839732,note,Waits at Nubian for last Silver Line bus
55839732,trip_type,wait
55839842,note,Waits at W Broadway @ Broadway Station for last Red Line train
55839842,trip_type,wait
55839975,note,Waits at Ruggles for last Orange Line train
55839975,trip_type,wait
55840184,note,Waits at Nubian for last Silver Line bus
55840184,trip_type,wait
55840194,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
55840194,trip_type,wait
55840334,note,Waits at Kenmore for last Green Line train
55840334,trip_type,wait
55840395,note,Waits at Boylston St @ Dartmouth St for last Green Line train
55840395,trip_type,wait
55840474,note,Waits at Andrew for last Red Line train
55840474,trip_type,wait
55840475,note,Waits at Forest Hills for last Orange Line train
55840475,trip_type,wait
55840670,note,Waits at Ashmont for last Red Line train
55840670,trip_type,wait
55840741,note,Waits at Ruggles for last Orange Line train
55840741,trip_type,wait
55889030,note,Does not run during school vacation
55889030,trip_type,supplemental
55889031,note,Does not run during school vacation
55889031,trip_type,supplemental
55889032,note,Does not run during school vacation
55889032,trip_type,supplemental
55889033,note,Does not run during school vacation
55889033,trip_type,supplemental
55889036,note,Does not run during school vacation
55889036,trip_type,supplemental
55889037,note,Does not run during school vacation
55889037,trip_type,supplemental
55889039,note,Does not run during school vacation
55889039,trip_type,supplemental
55889040,note,Does not run during school vacation
55889040,trip_type,supplemental
55889041,note,Does not run during school vacation
55889041,trip_type,supplemental
55889042,note,Does not run during school vacation
55889042,trip_type,supplemental
55889043,note,Does not run during school vacation
55889043,trip_type,supplemental
55889046,note,Does not run during school vacation
55889046,trip_type,supplemental
55889047,note,Does not run during school vacation
55889047,trip_type,supplemental
55889048,note,Does not run during school vacation
55889048,trip_type,supplemental
55889049,note,Does not run during school vacation
55889049,trip_type,supplemental
55889051,note,Does not run during school vacation
55889051,trip_type,supplemental
55889052,note,Does not run during school vacation
55889052,trip_type,supplemental
55889236,note,Waits at Ashmont for last Red Line train
55889236,note,Waits at Mattapan for last Mattapan Trolley train
55889236,trip_type,wait
55889533,note,Does not run during school vacation
55889533,trip_type,supplemental
55889542,note,Waits at Forest Hills for last Orange Line train
55889542,trip_type,wait
55889734,note,Does not run during school vacation
55889734,trip_type,supplemental
55890011,note,Does not run during school vacation
55890011,trip_type,supplemental
55890054,note,Does not run during school vacation
55890054,trip_type,supplemental
55890072,note,Waits at Forest Hills for last Orange Line train
55890072,trip_type,wait
55890256,note,Does not run during school vacation
55890256,trip_type,supplemental
55890357,note,Waits at Forest Hills for last Orange Line train
55890357,trip_type,wait
55890436,note,Does not run during school vacation
55890436,trip_type,supplemental
55890437,note,Does not run during school vacation
55890437,trip_type,supplemental
55890460,note,Does not run during school vacation
55890460,trip_type,supplemental
55890466,note,Does not run during school vacation
55890466,trip_type,supplemental
55890470,note,Does not run during school vacation
55890470,trip_type,supplemental
55890471,note,Does not run during school vacation
55890471,trip_type,supplemental
55890572,note,Does not run during school vacation
55890572,trip_type,supplemental
55890609,note,Waits at Ashmont for last Red Line train
55890609,trip_type,wait
55890627,note,Waits at Forest Hills for last Orange Line train
55890627,trip_type,wait
55891051,note,Does not run during school vacation
55891051,trip_type,supplemental
55912579,note,Does not run during school vacation
55912579,trip_type,supplemental
55912580,note,Does not run during school vacation
55912580,trip_type,supplemental
55912700,note,Waits at Lechmere for last Green Line train
55912700,trip_type,wait
55912863,note,Waits at Magazine St @ Green St for last Red Line train
55912863,trip_type,wait
55912869,note,Waits at Main St @ Kendall Station - Red Line for last Red Line train
55912869,trip_type,wait
55912894,note,Does not run during school vacation
55912894,trip_type,supplemental
55913299,note,Waits at Harvard for last Red Line train
55913299,trip_type,wait
55913480,note,Does not run during school vacation
55913480,trip_type,supplemental
55913496,note,Does not run during school vacation
55913496,trip_type,supplemental
55913575,note,Waits at Harvard for last Red Line train
55913575,trip_type,wait
55913768,note,Waits at Green St @ Magazine St for last Red Line train
55913768,trip_type,wait
55913907,note,Waits at Mt Auburn St @ Story St for last Red Line train
55913907,trip_type,wait
55914030,note,Waits at Mt Auburn St @ Story St for last Red Line train
55914030,trip_type,wait
55914303,note,Waits at Lechmere for last Green Line train
55914303,trip_type,wait
55914367,note,Does not run during school vacation
55914367,trip_type,supplemental
55914382,note,Does not run during school vacation
55914382,trip_type,supplemental
55914456,note,Waits at Lechmere for last Green Line train
55914456,trip_type,wait
55914540,note,Waits at Lechmere for last Green Line train
55914540,trip_type,wait
55917527,note,Waits at Magazine St @ Green St for last Red Line train
55917527,trip_type,wait
55917713,note,Waits at Lechmere for last Green Line train
55917713,trip_type,wait
55917813,note,Waits at Harvard for last Red Line train
55917813,trip_type,wait
55918057,note,Waits at Lechmere for last Green Line train
55918057,trip_type,wait
55918121,note,Waits at Lechmere for last Green Line train
55918121,trip_type,wait
55918273,note,Waits at Harvard for last Red Line train
55918273,trip_type,wait
55918452,note,Waits at Green St @ Magazine St for last Red Line train
55918452,trip_type,wait
55918512,note,Waits at Magazine St @ Green St for last Red Line train
55918512,trip_type,wait
55918584,note,Waits at Lechmere for last Green Line train
55918584,trip_type,wait
55918764,note,Waits at Harvard for last Red Line train
55918764,trip_type,wait
55918765,note,Waits at Harvard for last Red Line train
55918765,trip_type,wait
55919631,note,Waits at Harvard for last Red Line train
55919631,trip_type,wait
55919679,note,Waits at Lechmere for last Green Line train
55919679,trip_type,wait
55919741,note,Waits at Lechmere for last Green Line train
55919741,trip_type,wait
55919804,note,Waits at Lechmere for last Green Line train
55919804,trip_type,wait
55919838,note,Waits at Magazine St @ Green St for last Red Line train
55919838,trip_type,wait
55919942,note,Waits at Green St @ Magazine St for last Red Line train
55919942,trip_type,wait
55920040,note,Waits at Harvard for last Red Line train
55920040,trip_type,wait
55920237,note,Waits at Harvard for last Red Line train
55920237,trip_type,wait
55947065,note,Waits at South Station for last Red Line train
55947065,trip_type,wait
55947256,note,Waits at Ruggles for last Orange Line train
55947256,trip_type,wait
55947258,note,Waits at Mattapan for last Mattapan Trolley train
55947258,trip_type,wait
55947262,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
55947262,trip_type,wait
55948093,note,Waits at South Station for last Red Line train
55948093,trip_type,wait
55948313,note,Waits at Back Bay for last Orange Line train
55948313,trip_type,wait
55955556,note,Waits at Maverick for last Blue Line train
55955556,trip_type,wait
55955734,note,Waits at Wonderland for last Blue Line train
55955734,trip_type,wait
55955744,note,Waits at Maverick for last Blue Line train
55955744,trip_type,wait
55956167,note,Waits at Maverick for last Blue Line train
55956167,trip_type,wait
55958629,note,Waits at Maverick for last Blue Line train
55958629,trip_type,wait
55958793,note,Waits at Wonderland for last Blue Line train
55958793,trip_type,wait
55970506,note,Waits at Congress St @ Haymarket Sta for last Orange Line and Green Line trains
55970506,trip_type,wait
55970531,note,Waits at Maverick for last Blue Line train
55970531,trip_type,wait
55970618,note,Waits at Wonderland for last Blue Line train
55970618,trip_type,wait
55970751,note,Does not run during school vacation
55970751,trip_type,supplemental
55970752,note,Does not run during school vacation
55970752,trip_type,supplemental
55970753,note,Does not run during school vacation
55970753,trip_type,supplemental
55970754,note,Does not run during school vacation
55970754,trip_type,supplemental
55970755,note,Does not run during school vacation
55970755,trip_type,supplemental
55970756,note,Does not run during school vacation
55970756,trip_type,supplemental
55970757,note,Does not run during school vacation
55970757,trip_type,supplemental
55970758,note,Does not run during school vacation
55970758,trip_type,supplemental
55970759,note,Does not run during school vacation
55970759,trip_type,supplemental
55970760,note,Does not run during school vacation
55970760,trip_type,supplemental
55970761,note,Does not run during school vacation
55970761,trip_type,supplemental
55970762,note,Does not run during school vacation
55970762,trip_type,supplemental
55970763,note,Does not run during school vacation
55970763,trip_type,supplemental
55970764,note,Does not run during school vacation
55970764,trip_type,supplemental
55970765,note,Does not run during school vacation
55970765,trip_type,supplemental
55970766,note,Does not run during school vacation
55970766,trip_type,supplemental
55970767,note,Does not run during school vacation
55970767,trip_type,supplemental
55970768,note,Does not run during school vacation
55970768,trip_type,supplemental
55970769,note,Does not run during school vacation
55970769,trip_type,supplemental
55970770,note,Does not run during school vacation
55970770,trip_type,supplemental
55970771,note,Does not run during school vacation
55970771,trip_type,supplemental
55970772,note,Does not run during school vacation
55970772,trip_type,supplemental
55971017,note,Waits at Maverick for last Blue Line train
55971017,trip_type,wait
55998485,note,Does not run during school vacation
55998485,trip_type,supplemental
55998514,note,Does not run during school vacation
55998514,trip_type,supplemental
55998515,note,Does not run during school vacation
55998515,trip_type,supplemental
55998545,note,Does not run during school vacation
55998545,trip_type,supplemental
55998546,note,Does not run during school vacation
55998546,trip_type,supplemental
55998547,note,Does not run during school vacation
55998547,trip_type,supplemental
55998630,note,Does not run during school vacation
55998630,trip_type,supplemental
55998653,note,Does not run during school vacation
55998653,trip_type,supplemental
55998720,note,Does not run during school vacation
55998720,trip_type,supplemental
55998721,note,Does not run during school vacation
55998721,trip_type,supplemental
55998722,note,Does not run during school vacation
55998722,trip_type,supplemental
55998888,note,Does not run during school vacation
55998888,trip_type,supplemental
55998889,note,Does not run during school vacation
55998889,trip_type,supplemental
55998890,note,Does not run during school vacation
55998890,trip_type,supplemental
55998891,note,Does not run during school vacation
55998891,trip_type,supplemental
55998892,note,Does not run during school vacation
55998892,trip_type,supplemental
55998893,note,Does not run during school vacation
55998893,trip_type,supplemental
55998894,note,Does not run during school vacation
55998894,trip_type,supplemental
55998895,note,Does not run during school vacation
55998895,trip_type,supplemental
55998896,note,Does not run during school vacation
55998896,trip_type,supplemental
55998897,note,Does not run during school vacation
55998897,trip_type,supplemental
55998898,note,Does not run during school vacation
55998898,trip_type,supplemental
55998920,note,Does not run during school vacation
55998920,trip_type,supplemental
55999033,note,Does not run during school vacation
55999033,trip_type,supplemental
56003244,note,Waits at Wellington for last Orange Line train
56003244,trip_type,wait
56003315,note,Waits at Wellington for last Orange Line train
56003315,trip_type,wait
56003484,note,Waits at Sullivan Square for last Orange Line train
56003484,trip_type,wait
56003528,note,Waits at Malden Center for last Orange Line train
56003528,trip_type,wait
56003580,note,Waits at Wellington for last Orange Line train
56003580,trip_type,wait
56003613,note,Waits at Sullivan Square for last Orange Line train
56003613,trip_type,wait
56003700,note,Waits at Sullivan Square for last Orange Line train
56003700,trip_type,wait
56004127,note,Waits at Wellington for last Orange Line train
56004127,trip_type,wait
56004428,note,Waits at Harvard for last Red Line train
56004428,trip_type,wait
56007684,note,Waits at Sullivan Square for last Orange Line train
56007684,trip_type,wait
56007772,note,Waits at Malden Center for last Orange Line train
56007772,trip_type,wait
56007992,note,Waits at Sullivan Square for last Orange Line train
56007992,trip_type,wait
56008185,note,Waits at Sullivan Square for last Orange Line train
56008185,trip_type,wait
56008193,note,Waits at Surface Rd @ Hanover St for last Orange Line and Green Line trains
56008193,trip_type,wait
56008540,note,Waits at Harvard for last Red Line train
56008540,trip_type,wait
56027107,note,Waits at Sullivan Square for last Orange Line train
56027107,trip_type,wait
56027116,note,Waits at Malden Center for last Orange Line train
56027116,trip_type,wait
56027137,note,Waits at Wellington for last Orange Line train
56027137,trip_type,wait
56027144,note,Waits at Wellington for last Orange Line train
56027144,trip_type,wait
56027160,note,Waits at Wellington for last Orange Line train
56027160,trip_type,wait
56027168,note,Does not run during school vacation
56027168,trip_type,supplemental
56027169,note,Does not run during school vacation
56027169,trip_type,supplemental
56027176,note,Waits at Wellington for last Orange Line train
56027176,trip_type,wait
56027256,note,Does not run during school vacation
56027256,trip_type,supplemental
56027324,note,Does not run during school vacation
56027324,trip_type,supplemental
56027442,note,Waits at Sullivan Square for last Orange Line train
56027442,trip_type,wait
56028109,note,Waits at Sullivan Square for last Orange Line train
56028109,trip_type,wait
56028178,note,Waits at Sullivan Square for last Orange Line train
56028178,trip_type,wait
56028432,note,Waits at Harvard for last Red Line train
56028432,trip_type,wait
56040404,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
56040404,trip_type,wait
56040541,note,Waits at Mattapan for last Mattapan Trolley train
56040541,trip_type,wait
56040562,note,Waits at Ruggles for last Orange Line train
56040562,trip_type,wait
56040827,note,Waits at South Station for last Red Line train
56040827,trip_type,wait
56041360,note,Waits at South Station for last Red Line train
56041360,trip_type,wait
56041506,note,Waits at Back Bay for last Orange Line train
56041506,trip_type,wait
56063809,note,Waits at Fields Corner for last Red Line train
56063809,trip_type,wait
56063951,note,Waits at Quincy Center for last Red Line train
56063951,trip_type,wait
56076476,note,Does not run during school vacation
56076476,trip_type,supplemental
56076525,note,Does not run during school vacation
56076525,trip_type,supplemental
56076526,note,Does not run during school vacation
56076526,trip_type,supplemental
56076527,note,Does not run during school vacation
56076527,trip_type,supplemental
56076528,note,Does not run during school vacation
56076528,trip_type,supplemental
56076529,note,Does not run during school vacation
56076529,trip_type,supplemental
56076556,note,Does not run during school vacation
56076556,trip_type,supplemental
56076652,note,Waits at Fields Corner for last Red Line train
56076652,trip_type,wait
56076698,note,Does not run during school vacation
56076698,trip_type,supplemental
56076847,note,Does not run during school vacation
56076847,trip_type,supplemental
56076863,note,Does not run during school vacation
56076863,trip_type,supplemental
56076892,note,Waits at Quincy Center for last Red Line train
56076892,trip_type,wait
56077192,note,Does not run during school vacation
56077192,trip_type,supplemental
56077193,note,Does not run during school vacation
56077193,trip_type,supplemental
56087068,note,Waits at Quincy Center for last Red Line train
56087068,trip_type,wait
56087070,note,Waits at Fields Corner for last Red Line train
56087070,trip_type,wait
56105390,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
56105390,trip_type,wait
56105766,note,Waits at Mattapan for last Mattapan Trolley train
56105766,trip_type,wait
56105770,note,Waits at Ruggles for last Orange Line train
56105770,trip_type,wait
56106407,note,Waits at South Station for last Red Line train
56106407,trip_type,wait
56106463,note,Does not run during school vacation
56106463,trip_type,supplemental
56106522,note,Waits at Back Bay for last Orange Line train
56106522,trip_type,wait
56106596,note,Does not run during school vacation
56106596,trip_type,supplemental
56106987,note,Waits at South Station for last Red Line train
56106987,trip_type,wait
56113231,note,Waits at Orient Heights for last Blue Line train
56113231,trip_type,wait
56113232,note,Will go to Point Shirley if requested
56113390,note,Waits at Orient Heights for last Blue Line train
56113390,trip_type,wait
56113574,note,Waits at Orient Heights for last Blue Line train
56113574,trip_type,wait
56494329,note,Waits at some downtown stations for connections
56494329,trip_type,wait
56494424,note,Waits at some downtown stations for connections
56494424,trip_type,wait
56494733,note,Waits at some downtown stations for connections
56494733,trip_type,wait
56494794,note,Waits at some downtown stations for connections
56494794,trip_type,wait
56534492,note,Waits at some downtown stations for connections
56534492,trip_type,wait
56534599,note,Waits at some downtown stations for connections
56534599,trip_type,wait
56535190,note,Waits at some downtown stations for connections
56535190,trip_type,wait
56535191,note,Waits at some downtown stations for connections
56535191,trip_type,wait
56535779,note,Waits at some downtown stations for connections
56535779,trip_type,wait
56535784,note,Waits at some downtown stations for connections
56535784,trip_type,wait
57100342,note,Waits at one or more stops for connections
57100342,trip_type,wait
57100608,note,Waits at one or more stops for connections
57100608,trip_type,wait
57100805,note,Waits at one or more stops for connections
57100805,trip_type,wait
57143684,note,Waits at some downtown stations for connections
57143684,trip_type,wait
57143746,note,Waits at some downtown stations for connections
57143746,trip_type,wait
57143826,note,Waits at Park Street for last Red Line and Green Line trains
57143826,trip_type,wait
57143839,note,Waits at Park Street for last Red Line and Green Line trains
57143839,trip_type,wait
57144730,note,Waits at Park Street for last Red Line and Green Line trains
57144730,trip_type,wait
57144807,note,Waits at Park Street for last Red Line and Green Line trains
57144807,trip_type,wait
57165281,note,Waits at some downtown stations for connections
57165281,trip_type,wait
57165342,note,Waits at some downtown stations for connections
57165342,trip_type,wait
57223121,note,Waits at some downtown stations for connections
57223121,trip_type,wait
57223126,note,Waits at some downtown stations for connections
57223126,trip_type,wait
57223374,note,Waits at some downtown stations for connections
57223374,trip_type,wait
57223379,note,Waits at some downtown stations for connections
57223379,trip_type,wait
57232124,note,Waits at Magazine St @ Green St for last Red Line train
57232124,trip_type,wait
57232309,note,Waits at Lechmere for last Green Line train
57232309,trip_type,wait
57232388,note,Waits at Harvard for last Red Line train
57232388,trip_type,wait
57232535,note,Waits at Lechmere for last Green Line train
57232535,trip_type,wait
57232599,note,Waits at Lechmere for last Green Line train
57232599,trip_type,wait
57232751,note,Waits at Harvard for last Red Line train
57232751,trip_type,wait
57232930,note,Waits at Green St @ Magazine St for last Red Line train
57232930,trip_type,wait
57232990,note,Waits at Magazine St @ Green St for last Red Line train
57232990,trip_type,wait
57233062,note,Waits at Lechmere for last Green Line train
57233062,trip_type,wait
57233242,note,Waits at Harvard for last Red Line train
57233242,trip_type,wait
57233243,note,Waits at Harvard for last Red Line train
57233243,trip_type,wait
57234194,note,Waits at Harvard for last Red Line train
57234194,trip_type,wait
57234242,note,Waits at Lechmere for last Green Line train
57234242,trip_type,wait
57234304,note,Waits at Lechmere for last Green Line train
57234304,trip_type,wait
57234367,note,Waits at Lechmere for last Green Line train
57234367,trip_type,wait
57234401,note,Waits at Magazine St @ Green St for last Red Line train
57234401,trip_type,wait
57234505,note,Waits at Green St @ Magazine St for last Red Line train
57234505,trip_type,wait
57234603,note,Waits at Harvard for last Red Line train
57234603,trip_type,wait
57234800,note,Waits at Harvard for last Red Line train
57234800,trip_type,wait
57235767,note,Waits at some downtown stations for connections
57235767,trip_type,wait
57235878,note,Waits at some downtown stations for connections
57235878,trip_type,wait
57238215,note,Waits at some downtown stations for connections
57238215,trip_type,wait
57238316,note,Waits at some downtown stations for connections
57238316,trip_type,wait
57243226,note,Waits at Ruggles for last Orange Line train
57243226,trip_type,wait
57243252,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
57243252,trip_type,wait
57243362,note,Waits at W Broadway @ Broadway Station for last Red Line train
57243362,trip_type,wait
57243572,note,Waits at W Broadway @ Broadway Station for last Red Line train
57243572,trip_type,wait
57243606,note,Waits at Ruggles for last Orange Line train
57243606,trip_type,wait
57243678,note,Waits at Massachusetts Ave @ Pearl St for last Red Line train
57243678,trip_type,wait
57243685,note,Waits at Ruggles for last Orange Line train
57243685,trip_type,wait
57243824,note,Waits at Boylston St @ Dartmouth St for last Green Line train
57243824,trip_type,wait
57243891,note,Waits at Kenmore for last Green Line train
57243891,trip_type,wait
57244086,note,Waits at Ashmont for last Red Line train
57244086,trip_type,wait
57244140,note,Waits at Ruggles for last Orange Line train
57244140,trip_type,wait
57244214,note,Waits at Andrew for last Red Line train
57244214,trip_type,wait
57244215,note,Waits at Forest Hills for last Orange Line train
57244215,trip_type,wait
57244333,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
57244333,trip_type,wait
57244374,note,Waits at Nubian for last Silver Line bus
57244374,trip_type,wait
57244652,note,Waits at Nubian for last Silver Line bus
57244652,trip_type,wait
57244747,note,Waits at Massachusetts Ave @ Holyoke St for last Red Line train
57244747,trip_type,wait
57247354,note,Waits at Ruggles for last Orange Line train
57247354,trip_type,wait
57247393,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
57247393,trip_type,wait
57247534,note,Waits at W Broadway @ Broadway Station for last Red Line train
57247534,trip_type,wait
57247645,note,Waits at Massachusetts Ave @ Holyoke St for last Red Line train
57247645,trip_type,wait
57247647,note,Waits at Nubian for last Silver Line bus
57247647,trip_type,wait
57247757,note,Waits at W Broadway @ Broadway Station for last Red Line train
57247757,trip_type,wait
57247890,note,Waits at Ruggles for last Orange Line train
57247890,trip_type,wait
57248099,note,Waits at Nubian for last Silver Line bus
